date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:49	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2007%20Sep%202022%2010:53:50%20GMT	https://the-goonies.webflow.io/robots.txt		(from )
16:23:49	96362/96362	---M-Z	200	added ('OK')	text/html	date:Wed,%2007%20Sep%202022%2010:53:50%20GMT	https://the-goonies.webflow.io/	E:/Web/goonies/the-goonies.webflow.io/index.html	(from )
16:23:51	86660/86660	---M-Z	200	added ('OK')	text/css	etag:%22cf88c84f0665f650c51fc5bb67fd0d28%22	https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/css/the-goonies.webflow.fb887c4b7.css	E:/Web/goonies/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/css/the-goonies.webflow.fb887c4b7.css	(from https://the-goonies.webflow.io/)
16:23:53	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	E:/Web/goonies/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://the-goonies.webflow.io/)
16:23:53	1706/1706	---M--	200	added ('OK')	image/png	etag:%22e129cbe19bea1fc46f6bb2476fe591b6%22	https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d066805c9e4d68529d19eea_icon.png	E:/Web/goonies/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d066805c9e4d68529d19eea_icon.png	(from https://the-goonies.webflow.io/)
16:23:55	9947/9947	---M--	200	added ('OK')	image/jpeg	etag:%2257228dee5a81fdedce3959c34d47bb8a%22	https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d29850fe06f4c1b4e9a52ca_Goonies-lg.jpg	E:/Web/goonies/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d29850fe06f4c1b4e9a52ca_Goonies-lg.jpg	(from https://the-goonies.webflow.io/)
16:23:56	1983/1983	---M--	200	added ('OK')	image/png	etag:%22f1b1f0979eb5f4f875dff89b47f604c8%22	https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d0b9fae51a0ce8eaad6bd20_close.png	E:/Web/goonies/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d0b9fae51a0ce8eaad6bd20_close.png	(from https://the-goonies.webflow.io/)
16:23:57	27252/27252	---M--	200	added ('OK')	image/png	etag:%22fcd014db53cd48d85174733879e76711%22	https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d1ccf5390704ad21f992d8e_skull.png	E:/Web/goonies/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d1ccf5390704ad21f992d8e_skull.png	(from https://the-goonies.webflow.io/)
16:23:58	6868/6868	---M--	200	added ('OK')	image/png	etag:%22381ece43e284aafb1af9082eea48f3bc%22	https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d10efb50442bf42883dc80d_speaker-icon.png	E:/Web/goonies/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d10efb50442bf42883dc80d_speaker-icon.png	(from https://the-goonies.webflow.io/)
16:24:01	184/184	---MCZ	302	error ('Found')	text/html	date:Wed,%2007%20Sep%202022%2010:54:02%20GMT	https://unpkg.com/udesly-styler-widget-loader@latest/dist/udesly-styler-widget-loader.js	E:/Web/goonies/unpkg.com/udesly-styler-widget-loader@latest/dist/udesly-styler-widget-loader.7.delayed	(from https://the-goonies.webflow.io/)
16:24:01	11515/11515	---MCZ	200	added ('OK')	application/javascript	etag:%222cfb-Ugug8KwXTyyJFrXe73O2hIS6p+c%22	https://unpkg.com/udesly-styler-widget-loader@0.0.8/dist/udesly-styler-widget-loader.js	E:/Web/goonies/unpkg.com/udesly-styler-widget-loader@0.0.8/dist/udesly-styler-widget-loader.js	(from https://the-goonies.webflow.io/)
16:24:02	54122/54122	---M--	200	added ('OK')	image/gif	etag:%22850009e16954fcc7ade1e01c88ff3ff5%22	https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d00043816a6c695bcf1581a_scroll.gif	E:/Web/goonies/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d00043816a6c695bcf1581a_scroll.gif	(from https://the-goonies.webflow.io/)
16:24:02	26442/26442	---M--	200	added ('OK')	image/png	etag:%22de2c0272cb5ac97cccb1cc22d9cce612%22	https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5cffeb65d43eb732944316c4_logo.png	E:/Web/goonies/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5cffeb65d43eb732944316c4_logo.png	(from https://the-goonies.webflow.io/)
16:24:02	3152/3152	---M--	200	added ('OK')	image/png	etag:%22485fb4d1fb7b0e62874a90a75d956f79%22	https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d063f8b8518920d1efcffe0_drag.png	E:/Web/goonies/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d063f8b8518920d1efcffe0_drag.png	(from https://the-goonies.webflow.io/)
16:24:03	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2007%20Sep%202022%2010:54:04%20GMT	https://the-goonies.webflow.io/%22https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d02af2ae618811d9e5cac91_The%20Goonies%c3%a2%c2%80%c2%94Brand%20gets%20tied%20to%20a%20chairhas%20the%20air%20let%20out%20of%20his%20tires-poster-00001.jpg%22	E:/Web/goonies/the-goonies.webflow.io/_https_/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d02af2ae618811d9e5cac91_The%20Goonies%c3%a2%c2%80%c2%94Brand%20gets%20tied%20to%20a%20chairhas%20the%20air%20let%20out%20of%20his%20tires-poster-00001.jpg_	(from https://the-goonies.webflow.io/)
16:24:04	736/736	---M--	200	added ('OK')	image/png	etag:%225a603de5765b5400b635c7fb64838188%22	https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d00256012408bddc81a0512_arrow.png	E:/Web/goonies/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d00256012408bddc81a0512_arrow.png	(from https://the-goonies.webflow.io/)
16:24:04	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2007%20Sep%202022%2010:54:05%20GMT	https://the-goonies.webflow.io/%22https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d05918fe1a86872f1a03911_4-poster-00001.jpg%22	E:/Web/goonies/the-goonies.webflow.io/_https_/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d05918fe1a86872f1a03911_4-poster-00001.jpg_	(from https://the-goonies.webflow.io/)
16:24:05	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2007%20Sep%202022%2010:54:06%20GMT	https://the-goonies.webflow.io/%22https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d058dcfe1a868bd88a033ed_3-poster-00001.jpg%22	E:/Web/goonies/the-goonies.webflow.io/_https_/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d058dcfe1a868bd88a033ed_3-poster-00001.jpg_	(from https://the-goonies.webflow.io/)
16:24:05	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Wed,%2007%20Sep%202022%2010:54:06%20GMT	https://the-goonies.webflow.io/%22https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d24635d2758ae4bbc2fe2ae_y2matecom%20-%20the_goonies_mouths_jewels_w1Bop2N-1P8_360p-poster-00001.jpg%22	E:/Web/goonies/the-goonies.webflow.io/_https_/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d24635d2758ae4bbc2fe2ae_y2matecom%20-%20the_goonies_mouths_jewels_w1Bop2N-1P8_360p-poster-00001.jpg_	(from https://the-goonies.webflow.io/)
16:24:07	282205/282205	---M--	200	added ('OK')	image/png	etag:%228a826aa684ed81a626190136c1698bed%22	https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d25cdda7dcddd7271ddc7da_coin.png	E:/Web/goonies/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d25cdda7dcddd7271ddc7da_coin.png	(from https://the-goonies.webflow.io/)
16:25:00	408539/408539	---M--	200	added ('OK')	image/png	etag:%22591df41d10c2e2eafa61c0d3f6a9e1da%22	https://uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d25c68703e41086eb3b2da1_key-min.png	E:/Web/goonies/uploads-ssl.webflow.com/5cff83ac2044e22cb8cf2f11/5d25c68703e41086eb3b2da1_key-min.png	(from https://the-goonies.webflow.io/)
